Season,Team,Gtm,Opp,Spread,Total
2015,OTI,15,HOU,3.5,40.0
2015,OTI,16,@IND,4.5,39.0
2015,WAS,1,MIA,3.0,43.5
2015,WAS,2,STL,3.0,41.0
2015,WAS,3,@NYG,3.5,44.0
2015,WAS,4,PHI,3.0,44.0
2015,WAS,5,@ATL,7.0,48.0
2015,WAS,6,@NYJ,7.0,40.5
2015,WAS,7,TAM,-3.0,42.5
2015,WAS,8,@NWE,14.0,52.0
2015,WAS,9,NOR,1.0,50.0
2015,WAS,10,@CAR,7.0,44.5
2015,WAS,11,NYG,2.5,47.0
2015,WAS,12,DAL,-3.5,42.0
2015,WAS,13,@CHI,3.5,43.0
2015,WAS,14,BUF,2.5,44.0
2015,WAS,15,@PHI,3.0,48.0
2015,WAS,16,@DAL,3.5,39.5
2016,CRD,1,NWE,-9.0,44.5
2016,CRD,2,TAM,-7.5,49.5
2016,CRD,3,@BUF,-5.0,48.0
2016,CRD,4,LAR,-10.0,43.5
2016,CRD,5,@SFO,-3.5,42.5
2016,CRD,6,NYJ,-7.0,45.5
2016,CRD,7,SEA,-2.5,43.0
2016,CRD,8,@CAR,2.5,45.5
2016,CRD,9,SFO,-13.5,46.5
2016,CRD,10,@MIN,2.0,39.5
2016,CRD,11,@ATL,4.0,49.0
2016,CRD,12,WAS,-2.5,48.5
2016,CRD,13,@MIA,-2.0,44.0
2016,CRD,14,NOR,-3.0,48.5
2016,CRD,15,@SEA,9.0,43.5
2016,CRD,16,@LAR,-7.0,39.0
2016,ATL,1,TAM,-2.5,46.5
2016,ATL,2,@OAK,4.0,47.5
2016,ATL,3,@NOR,2.5,54.0
2016,ATL,4,CAR,2.5,48.5
2016,ATL,5,@DEN,3.5,44.5
2016,ATL,6,@SEA,7.0,45.5
2016,ATL,7,SDG,-4.5,52.5
2016,ATL,8,GNB,-3.0,51.0
2016,ATL,9,@TAM,-4.5,49.0
2016,ATL,10,@PHI,2.0,48.5
2016,ATL,11,ARI,-4.0,49.0
2016,ATL,12,KAN,-5.0,50.0
2016,ATL,13,@LAR,-4.5,44.0
2016,ATL,14,SFO,-13.5,51.5
2016,ATL,15,@CAR,-3.0,49.0
2016,ATL,16,NOR,-7.5,58.5
2016,RAV,1,BUF,-3.0,44.5
2016,RAV,2,@CLE,-4.0,42.0
2016,RAV,3,@JAX,-2.5,45.0
2016,RAV,4,OAK,-3.5,45.0
2016,RAV,5,WAS,-4.0,44.5
2016,RAV,6,@NYG,3.5,42.5
2016,RAV,7,@NYJ,2.5,40.0
2016,RAV,8,PIT,3.5,46.0
2016,RAV,9,CLE,-7.5,44.0
2016,RAV,10,@DAL,7.0,44.5
2016,RAV,11,CIN,-3.5,41.5
2016,RAV,12,MIA,-3.5,41.5
2016,RAV,13,@NWE,6.0,45.0
2016,RAV,14,PHI,-5.0,41.0
2016,RAV,15,@PIT,5.5,46.5
2016,RAV,16,@CIN,-2.5,40.5
2016,BUF,1,@BAL,3.0,44.5
2016,BUF,2,NYJ,-1.0,40.5
2016,BUF,3,ARI,5.0,48.0
2016,BUF,4,@NWE,3.5,41.0
2016,BUF,5,@LAR,-2.5,41.5
2016,BUF,6,SFO,-7.5,44.0
2016,BUF,7,@MIA,-2.5,46.0
2016,BUF,8,NWE,5.5,48.0
2016,BUF,9,@SEA,5.5,43.5
2016,BUF,10,@CIN,2.5,48.0
2016,BUF,11,JAX,-8.5,43.5
2016,BUF,12,@OAK,3.0,48.5
2016,BUF,13,PIT,1.0,45.5
2016,BUF,14,CLE,-10.5,43.0
2016,BUF,15,MIA,-4.5,44.5
2016,BUF,16,@NYJ,-3.5,43.0
2016,CAR,1,@DEN,-3.0,40.5
2016,CAR,2,SFO,-12.0,44.5
2016,CAR,3,MIN,-6.0,43.0
2016,CAR,4,@ATL,-2.5,48.5
2016,CAR,5,TAM,-6.0,46.5
2016,CAR,6,@NOR,-2.5,53.5
2016,CAR,7,ARI,-2.5,45.5
2016,CAR,8,@LAR,-3.0,44.5
2016,CAR,9,KAN,-3.0,44.0
2016,CAR,10,NOR,-3.5,52.5
2016,CAR,11,@OAK,3.5,48.5
2016,CAR,12,@SEA,8.0,43.5
2016,CAR,13,SDG,-1.0,48.5
2016,CAR,14,@WAS,7.0,50.5
2016,CAR,15,ATL,3.0,49.0
2016,CAR,16,@TAM,3.0,44.5
2016,CHI,1,@HOU,5.5,43.0
2016,CHI,2,PHI,-3.0,42.5
2016,CHI,3,@DAL,6.5,44.5
2016,CHI,4,DET,3.0,48.0
2016,CHI,5,@IND,4.0,47.5
2016,CHI,6,JAX,-2.5,46.0
2016,CHI,7,@GNB,7.5,46.5
2016,CHI,8,MIN,4.5,39.5
2016,CHI,9,@TAM,-2.5,45.0
2016,CHI,10,@NYG,7.0,41.5
2016,CHI,11,TEN,6.5,41.5
2016,CHI,12,SFO,0.0,44.0
2016,CHI,13,@DET,7.5,42.0
2016,CHI,14,GNB,4.5,40.0
2016,CHI,15,WAS,3.0,49.0
2016,CHI,16,@MIN,6.0,44.0
2016,CIN,1,@NYJ,1.0,42.0
2016,CIN,2,@PIT,3.0,48.0
2016,CIN,3,DEN,-3.5,42.0
2016,CIN,4,MIA,-7.5,46.0
2016,CIN,5,@DAL,-2.5,46.0
2016,CIN,6,@NWE,7.5,48.0
2016,CIN,7,CLE,-11.0,46.5
2016,CIN,8,WAS,-3.0,49.0
2016,CIN,9,@NYG,-1.0,49.5
2016,CIN,10,BUF,-2.5,48.0
2016,CIN,11,@BAL,3.5,41.5
2016,CIN,12,PHI,-2.0,42.0
2016,CIN,13,@CLE,-4.5,42.0
2016,CIN,14,PIT,3.0,45.5
2016,CIN,15,@HOU,3.0,41.5
2016,CIN,16,BAL,2.5,40.5
2016,CLE,1,@PHI,4.0,41.5
2016,CLE,2,BAL,4.0,42.0
2016,CLE,3,@MIA,10.0,42.0
2016,CLE,4,@WAS,7.5,48.0
2016,CLE,5,NWE,10.0,47.5
2016,CLE,6,@TEN,7.5,44.5
2016,CLE,7,@CIN,11.0,46.5
2016,CLE,8,NYJ,2.5,45.5
2016,CLE,9,DAL,7.0,49.0
